i_episode,total_reward,score,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1,-235.918037173,-2.94897546466,4.799999999999986,-43.4475579046,-20.6389763609,0.0,6.08026235042,1.81705078998,0.0,-9.44831508564,-9.54178753667,-41.0731400702,-28.6393616342,6.34244934291,0.0,896.926958649,900.061323149,900.16841326,107.050919772
2,-219.836918349,-2.61710617082,5.0399999999999805,-19.956320344,46.4493201952,70.430414949,2.32283082188,1.785868419,0.0,-4.12551525749,19.059381673,-5.66141876791,-28.6425341523,-28.6690081207,0.0,900.355627217,99.9331915962,899.454721693,99.8877832249
3,199.282404991,2.37240958323,5.0399999999999805,-9.01300083193,-6.25060462608,126.19629484,2.2493425305,2.3198907226,0.0,-0.897593438604,-3.26357558757,9.63027525492,-28.6563944668,-28.6763056146,0.0,900.581372079,99.7535426358,900.07848531,100.280205345
4,198.881294011,2.36763445252,5.0399999999999805,-8.65371323584,3.18532763071,126.215527704,2.28985960089,2.29277217395,0.0,-0.798424139285,0.0948265380764,9.67756147229,-28.6652860207,-28.6737617356,0.0,900.552648566,100.075582443,900.123301637,99.4263291512
5,200.904160981,2.39171620216,5.0399999999999805,-8.47714920088,-1.94702049264,126.49813717,2.23727460027,2.24931734682,0.0,-0.809028877652,-1.42069278255,9.74593658158,-28.6455918269,-28.6488601849,0.0,899.694823547,99.8854811436,899.619269468,99.7274159493
6,-238.341042573,-2.83739336397,5.0399999999999805,-10.4299719993,20.8252549247,9.21236024624,6.12756665426,2.28936031748,0.0,-1.7148434682,1.6113554694,-32.6359478803,-0.993398743886,-28.6305394256,0.0,899.405491912,100.232181519,900.298215019,899.382071674
7,-214.241363926,-2.58122125213,4.979999999999982,-16.2278708735,-0.947738069317,0.0,6.06435391681,4.05398874469,0.0,-5.15869648776,-1.26377297522,-46.8237334041,-0.29008888026,-28.656859607,0.0,899.944041705,100.717706749,899.500526177,899.945060398
8,-213.41288906,-2.57123962723,4.979999999999982,-15.8510812207,-2.99476270678,0.0,0.473543865876,4.01482166774,0.0,-4.7452454441,-4.88737710262,-44.5624877378,0.0614743354786,-28.6382926588,0.0,899.404317466,100.613250196,899.282410113,899.080859986
9,-186.787937869,-2.52416132256,4.439999999999993,-13.2917083888,-26.9735361205,0.0,5.52944587872,0.640605547579,0.0,-4.2185150807,-63.5458208217,-98.9848655391,-0.142132196826,-28.6597420363,0.0,900.183432608,99.8448924028,901.007800701,899.490775203
10,-213.818215547,-2.57612307888,4.979999999999982,-16.1718086623,-2.12079813812,0.0,6.09423603661,4.02458486251,0.0,-5.06072595966,-3.5896235552,-47.548551734,0.226659111126,-28.6313071572,0.0,899.202466664,100.200584477,899.507581466,899.816536441
